customer_id,name,gender,date_of_birth,age,marital_status,education_level,occupation,income,region,join_date,email,phone
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543
2,Thet Win,Other,1972-04-29,53,Widowed,Primary,Farmer,740367.63,Bago,2024-03-23,thet.win@gmail.com,959878845998
3,Nu Htun,Other,1951-03-18,74,Married,Master,Bank Employee,3596227.38,Monywa,2017-02-17,nu.htun@gmail.com,959474801417
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412
5,Yin Zaw,Other,1972-05-11,53,Divorced,Middle School,Business Owner,4798901.44,Taunggyi,2024-01-06,yin.zaw@gmail.com,959549567288
6,Zaw Moe,Male,1960-06-22,65,Single,High School,Engineer,3137512.35,Yangon,2024-07-15,zaw.moe@gmail.com,959754592968
7,Phyu Hlaing,Other,1974-11-16,51,Single,Diploma,Teacher,2894590.97,Sittwe,2018-08-03,phyu.hlaing@gmail.com,959894064955
8,Nu Kyaw,Female,1985-08-22,40,Single,Primary,Bank Employee,1371121.9,Mawlamyine,2018-02-11,nu.kyaw@gmail.com,959556681438
9,Kyaw Win,Male,2002-06-07,23,Widowed,High School,Driver,3287716.89,Taunggyi,2018-08-22,kyaw.win@gmail.com,959938132103
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082
11,Khin Hlaing,Other,1960-02-04,65,Married,Middle School,Driver,2083440.58,Pathein,2023-07-30,khin.hlaing@gmail.com,959538278676
12,Myo Htun,Male,1952-01-28,73,Married,PhD,Farmer,4083715.26,Monywa,2020-11-03,myo.htun@gmail.com,959156069497
13,Hla Kyaw,Female,1949-04-09,76,Divorced,Middle School,Bank Employee,2646386.92,Myitkyina,2016-03-28,hla.kyaw@gmail.com,959420734068
14,Min Oo,Male,1992-07-14,33,Married,Master,Fisherman,2833193.26,Sittwe,2022-04-16,min.oo@gmail.com,959853301447
15,Nu Moe,Female,1998-01-05,27,Divorced,Middle School,Government Employee,2694773.58,Mandalay,2020-03-17,nu.moe@gmail.com,959726337240
16,Zaw Oo,Male,1967-06-18,58,Married,PhD,Bank Employee,2284151.84,Mandalay,2024-01-09,zaw.oo@gmail.com,959801863756
17,Yin Myint,Female,1966-09-30,59,Widowed,Bachelor,Merchant,4864068.37,Yangon,2020-05-01,yin.myint@gmail.com,959563614851
18,Hla Hlaing,Other,2002-04-30,23,Divorced,PhD,Bank Employee,1898824.72,Mawlamyine,2015-05-06,hla.hlaing@gmail.com,959843660490
19,Khin Lin,Female,1962-05-25,63,Single,Master,Tour Guide,1537928.54,Pathein,2024-01-07,khin.lin@gmail.com,959624986895
20,Yan Win,Male,1979-01-03,46,Divorced,PhD,Bank Employee,2686015.55,Bago,2018-08-03,yan.win@gmail.com,959564450357
21,Myo Oo,Male,1983-04-02,42,Single,Bachelor,Engineer,2596446.83,Mandalay,2021-02-01,myo.oo@gmail.com,959160849628
22,Thandar Kyaw,Female,1999-01-31,26,Single,Middle School,Construction Worker,4750662.39,Mandalay,2021-02-01,thandar.kyaw@gmail.com,959928885491
23,Phyu Win,Other,1971-08-11,54,Married,Middle School,Bank Employee,2533827.18,Pathein,2019-11-19,phyu.win@gmail.com,959748745822
24,Min Hlaing,Male,1990-05-10,35,Widowed,Middle School,Fisherman,3849746.42,Bago,2016-05-31,min.hlaing@gmail.com,959877762921
25,Thandar Moe,Other,1954-11-07,71,Divorced,Diploma,Fisherman,2421984.86,Bago,2016-06-29,thandar.moe@gmail.com,959806413202
